index,dataset,Topic,Image number
1,datasetV1,documents,documents_0000.png
2,datasetV1,documents,documents_0001.png
3,datasetV1,documents,documents_0003.png
4,datasetV1,documents,documents_0004.png
5,datasetV1,documents,documents_0005.png
6,datasetV1,documents,documents_0006.png
7,datasetV1,documents,documents_0007.png
8,datasetV1,documents,documents_0009.png
9,datasetV1,documents,documents_0010.png
10,datasetV1,documents,documents_0011.png
11,datasetV1,documents,documents_0012.png
12,datasetV1,documents,documents_0014.png
13,datasetV1,documents,documents_0015.png
14,datasetV1,documents,documents_0016.png
15,datasetV1,documents,documents_0017.png
16,datasetV1,documents,documents_0021.png
17,datasetV1,documents,documents_0022.png
18,datasetV1,documents,documents_0023.png
19,datasetV1,documents,documents_0025.png
20,datasetV1,documents,documents_0026.png
21,datasetV1,documents,documents_0027.png
22,datasetV1,documents,documents_0028.png
23,datasetV1,documents,documents_0029.png
24,datasetV1,documents,documents_0030.png
25,datasetV1,documents,documents_0031.png
26,datasetV1,documents,documents_0032.png
27,datasetV1,documents,documents_0033.png
28,datasetV1,documents,documents_0034.png
29,datasetV1,documents,documents_0035.png
30,datasetV1,documents,documents_0036.png
31,datasetV1,documents,documents_0037.png
32,datasetV1,documents,documents_0039.png
33,datasetV1,documents,documents_0040.png
34,datasetV1,documents,documents_0041.png
35,datasetV1,documents,documents_0042.png
36,datasetV1,documents,documents_0043.png
37,datasetV1,documents,documents_0044.png
38,datasetV1,documents,documents_0045.png
39,datasetV1,documents,documents_0046.png
40,datasetV1,documents,documents_0047.png
41,datasetV1,documents,documents_0048.png
42,datasetV1,documents,documents_0049.png
43,datasetV1,documents,documents_0050.png
44,datasetV1,documents,documents_0051.png
45,datasetV1,documents,documents_0052.png
46,datasetV1,documents,documents_0053.png
47,datasetV1,documents,documents_0054.png
48,datasetV1,documents,documents_0055.png
49,datasetV1,documents,documents_0058.png
50,datasetV1,documents,documents_0059.png
51,datasetV1,documents,documents_0060.png
52,datasetV1,documents,documents_0061.png
53,datasetV1,documents,documents_0062.png
54,datasetV1,documents,documents_0063.png
55,datasetV1,documents,documents_0064.png
56,datasetV1,documents,documents_0065.png
57,datasetV1,documents,documents_0066.png
58,datasetV1,documents,documents_0067.png
59,datasetV1,documents,documents_0068.png
60,datasetV1,documents,documents_0069.png
61,datasetV1,documents,documents_0070.png
62,datasetV1,documents,documents_0071.png
63,datasetV1,documents,documents_0072.png
64,datasetV1,documents,documents_0073.png
65,datasetV1,documents,documents_0074.png
66,datasetV1,documents,documents_0075.png
67,datasetV1,documents,documents_0076.png
68,datasetV1,documents,documents_0078.png
69,datasetV1,documents,documents_0079.png
70,datasetV1,documents,documents_0080.png
71,datasetV1,documents,documents_0081.png
72,datasetV1,documents,documents_0082.png
73,datasetV1,documents,documents_0083.png
74,datasetV1,documents,documents_0084.png
75,datasetV1,documents,documents_0085.png
76,datasetV1,documents,documents_0086.png
77,datasetV1,documents,documents_0087.png
78,datasetV1,documents,documents_0088.png
79,datasetV1,documents,documents_0089.png
80,datasetV1,documents,documents_0090.png
81,datasetV1,documents,documents_0091.png
82,datasetV1,documents,documents_0092.png
83,datasetV1,documents,documents_0093.png
84,datasetV1,documents,documents_0094.png
85,datasetV1,documents,documents_0095.png
86,datasetV1,documents,documents_0096.png
87,datasetV1,documents,documents_0097.png
88,datasetV1,documents,documents_0099.png
89,datasetV1,documents,documents_0100.png
90,datasetV1,documents,documents_0101.png
91,datasetV1,documents,documents_0102.png
92,datasetV1,documents,documents_0103.png
93,datasetV1,documents,documents_0105.png
94,datasetV1,documents,documents_0106.png
95,datasetV1,documents,documents_0107.png
96,datasetV1,documents,documents_0108.png
