index,dataset,Topic,Image number
1,dataset_real,documents,documents_0004.jpg
2,dataset_real,documents,documents_0011.png
3,dataset_real,documents,documents_0017.jpg
4,dataset_real,documents,documents_0021.jpg
5,dataset_real,documents,documents_0022.jpg
6,dataset_real,documents,documents_0023.jpg
7,dataset_real,documents,documents_0026.jpg
8,dataset_real,documents,documents_0027.jpg
9,dataset_real,documents,documents_0032.jpg
10,dataset_real,documents,documents_0036.jpg
11,dataset_real,documents,documents_0052.jpg
12,dataset_real,documents,documents_0054.jpg
13,dataset_real,documents,documents_0055.jpg
14,dataset_real,documents,documents_0204.jpg
15,dataset_real,documents,documents_0219.png
16,dataset_real,documents,documents_0220.jpg
17,dataset_real,documents,documents_0221.jpg
18,dataset_real,documents,documents_0227.jpg
19,dataset_real,documents,documents_0235.jpg
20,dataset_real,documents,documents_0236.jpg
21,dataset_real,documents,documents_0237.jpg
22,dataset_real,documents,documents_0238.jpg
23,dataset_real,documents,documents_0239.jpg
24,dataset_real,documents,documents_0240.jpg
25,dataset_real,documents,documents_0241.jpg
26,dataset_real,documents,documents_0242.jpg
27,dataset_real,documents,documents_0243.jpg
28,dataset_real,documents,documents_0244.jpg
29,dataset_real,documents,documents_0245.jpg
30,dataset_real,documents,documents_0246.jpg
31,dataset_real,documents,documents_0250.jpg
32,dataset_real,documents,documents_0251.png
33,dataset_real,documents,documents_0252.jpg
34,dataset_real,documents,documents_0253.jpg
35,dataset_real,documents,documents_0254.jpg
36,dataset_real,documents,documents_0255.jpg
37,dataset_real,documents,documents_0257.jpg
38,dataset_real,documents,documents_0262.jpg
39,dataset_real,documents,documents_0267.jpg
40,dataset_real,documents,documents_0268.jpg
41,dataset_real,documents,documents_0269.jpg
42,dataset_real,documents,documents_0270.jpg
43,dataset_real,documents,documents_0271.jpg
44,dataset_real,documents,documents_0272.jpg
45,dataset_real,documents,documents_0273.jpg
46,dataset_real,documents,documents_0274.jpg
47,dataset_real,documents,documents_0275.jpg
48,dataset_real,documents,documents_0276.jpg
49,dataset_real,documents,documents_0277.jpg
50,dataset_real,documents,documents_0282.jpg
51,dataset_real,documents,documents_0283.jpg
52,dataset_real,documents,documents_0284.jpg
53,dataset_real,documents,documents_0285.jpg
54,dataset_real,documents,documents_0286.jpg
55,dataset_real,documents,documents_0287.jpg
56,dataset_real,documents,documents_0291.jpg
57,dataset_real,documents,documents_0292.jpg
58,dataset_real,documents,documents_0295.jpg
59,dataset_real,documents,documents_0296.jpg
60,dataset_real,documents,documents_0297.jpg
61,dataset_real,documents,documents_0298.jpg
62,dataset_real,documents,documents_0299.jpg
63,dataset_real,documents,documents_0300.jpg
64,dataset_real,documents,documents_0301.jpg
65,dataset_real,documents,documents_0302.jpg
66,dataset_real,documents,documents_0303.jpg
67,dataset_real,documents,documents_0305.jpg
68,dataset_real,documents,documents_0306.png
69,dataset_real,documents,documents_0307.jpg
70,dataset_real,documents,documents_0308.jpg
71,dataset_real,documents,documents_0309.jpg
72,dataset_real,documents,documents_0310.jpg
73,dataset_real,documents,documents_0324.jpg
74,dataset_real,documents,documents_0325.jpg
75,dataset_real,documents,documents_0326.jpg
76,dataset_real,documents,documents_0327.jpg
77,dataset_real,documents,documents_0328.jpg
78,dataset_real,documents,documents_0329.jpg
79,dataset_real,documents,documents_0330.jpg
80,dataset_real,documents,documents_0331.jpg
81,dataset_real,documents,documents_0333.jpg
82,dataset_real,documents,documents_0334.jpg
83,dataset_real,documents,documents_0335.jpg
84,dataset_real,documents,documents_0336.jpg
85,dataset_real,documents,documents_0347.jpg
86,dataset_real,documents,documents_0348.jpg
87,dataset_real,documents,documents_0349.jpg
88,dataset_real,documents,documents_0350.jpg
89,dataset_real,documents,documents_0351.jpg
90,dataset_real,documents,documents_0352.jpg
91,dataset_real,documents,documents_0355.jpg
92,dataset_real,documents,documents_0356.jpg
93,dataset_real,documents,documents_0357.jpg
94,dataset_real,documents,documents_0361.jpg
95,dataset_real,documents,documents_0362.jpg
96,dataset_real,documents,documents_0364.jpg
97,dataset_real,documents,documents_0365.jpg
98,dataset_real,documents,documents_0366.jpg
99,dataset_real,documents,documents_0367.jpg
100,dataset_real,documents,documents_0368.jpg
101,dataset_real,documents,documents_0369.png
102,dataset_real,documents,documents_0371.jpg
103,dataset_real,documents,documents_0372.jpg
104,dataset_real,documents,documents_0373.jpg
105,dataset_real,documents,documents_0374.jpg
